,device_id,datetime,address_ip,address_port,original_message_id,status,lat,lat_dir,lon,lon_dir,spd_over_grnd,true_course,datestamp,mag_variation,mag_var_dir
153,0001,2019-02-13 14:11:25,172.19.0.17,4007,1550070685465-0,A,51.318306666666665,N,4.315722166666666,E,0.0,73.67,150218,0.8,E
154,0001,2019-02-13 14:11:25,172.19.0.17,4007,1550070685989-0,A,51.318306666666665,N,4.315722166666666,E,0.0,73.01,150218,0.8,E
155,0001,2019-02-13 14:11:26,172.19.0.17,4007,1550070686459-0,A,51.318306666666665,N,4.315722166666666,E,0.0,67.23,150218,0.8,E
156,0001,2019-02-13 14:44:32,172.19.0.16,4007,1550072672213-0,A,51.318306666666665,N,4.315722166666666,E,0.0,67.23,150218,0.8,E
157,0001,2019-02-13 14:11:27,172.19.0.17,4007,1550070687072-0,A,51.318306666666665,N,4.315722166666666,E,0.0,65.27,150218,0.8,E
158,0001,2019-02-13 14:22:28,172.19.0.16,4007,1550071348926-0,A,51.318306666666665,N,4.315722166666666,E,0.0,65.27,150218,0.8,E
159,0001,2019-02-13 14:44:32,172.19.0.16,4007,1550072672831-0,A,51.318306666666665,N,4.315722166666666,E,0.0,65.27,150218,0.8,E
160,0001,2019-02-13 14:22:29,172.19.0.16,4007,1550071349773-0,A,51.318306666666665,N,4.315722166666666,E,0.0,66.75,150218,0.8,E
161,0001,2019-02-13 14:11:27,172.19.0.17,4007,1550070687918-0,A,51.318306666666665,N,4.315722166666666,E,0.0,66.75,150218,0.8,E
162,0001,2019-02-13 14:33:31,172.19.0.16,4007,1550072011709-0,A,51.318306666666665,N,4.315722166666666,E,0.0,66.75,150218,0.8,E
163,0001,2019-02-13 14:11:28,172.19.0.17,4007,1550070688182-0,A,51.318306666666665,N,4.315722166666666,E,0.0,51.75,150218,0.8,E
164,0001,2019-02-13 14:33:31,172.19.0.16,4007,1550072011979-1,A,51.318306666666665,N,4.315722166666666,E,0.0,51.75,150218,0.8,E
165,0001,2019-02-13 14:22:30,172.19.0.16,4007,1550071350037-0,A,51.318306666666665,N,4.315722166666666,E,0.0,51.75,150218,0.8,E
166,0001,2019-02-13 14:44:33,172.19.0.16,4007,1550072673936-1,A,51.318306666666665,N,4.315722166666666,E,0.0,51.75,150218,0.8,E
167,0001,2019-02-13 13:11:31,172.19.0.11,4007,1550067091465-0,A,51.31830766666667,N,4.315721833333333,E,0.0,17.98,150218,0.8,E
168,0001,2019-02-13 14:22:58,172.19.0.16,4007,1550071378873-0,A,51.31830766666667,N,4.315721833333333,E,0.0,17.98,150218,0.8,E
169,0001,2019-02-13 14:11:57,172.19.0.17,4007,1550070717011-0,A,51.31830766666667,N,4.315721833333333,E,0.0,17.98,150218,0.8,E
170,0001,2019-02-13 14:22:59,172.19.0.16,4007,1550071379815-0,A,51.3183075,N,4.315721833333333,E,0.0,25.11,150218,0.8,E
171,0001,2019-02-13 14:11:57,172.19.0.17,4007,1550070717961-0,A,51.3183075,N,4.315721833333333,E,0.0,25.11,150218,0.8,E
172,0001,2019-02-13 13:11:32,172.19.0.11,4007,1550067092405-1,A,51.3183075,N,4.315721833333333,E,0.0,25.11,150218,0.8,E
173,0001,2019-02-13 14:45:03,172.19.0.16,4007,1550072703711-2,A,51.3183075,N,4.315721833333333,E,0.0,25.11,150218,0.8,E
174,0001,2019-02-13 14:11:58,172.19.0.17,4007,1550070718169-0,A,51.3183075,N,4.315721833333333,E,0.0,14.32,150218,0.8,E
175,0001,2019-02-13 13:11:32,172.19.0.11,4007,1550067092622-0,A,51.3183075,N,4.315721833333333,E,0.0,14.32,150218,0.8,E
176,0001,2019-02-13 14:23:00,172.19.0.16,4007,1550071380021-0,A,51.3183075,N,4.315721833333333,E,0.0,14.32,150218,0.8,E
